product_id,SKU / Pioneer part number,manufacturer,manufacturer_part_number,product_name,category,subcategory,description,specs,unit_of_measure,quantity_in_stock,reorder_point,price,customer_specific_price,image_ref,lead_time,warehouse_location,is_icc_supply,tags,safety_stock_status
RPL-0003,TIM-32210,Timken,TIM-32210,Timken Tapered Roller Bearing 32210,Bearings,Tapered Roller Bearings,"Single row tapered roller bearing. Bore 50mm, OD 90mm, Width 24.75mm. High radial and axial load capacity, ideal for heavy-duty applications.",Spec details available on request.,Each,32,8,89.00,89.00,https://cdn.create.vista.com/api/media/small/363393714/stock-photo-ball-bearings-steel-metal-industrial-spare-parts-various-sizes-isolated,3-5 business days,R1-01,FALSE,replit-import;replit-id-3;show-price-true;remote-image-source;bearings,OK
RPL-0004,SKF-22220-E,SKF,SKF-22220-E,SKF Spherical Roller Bearing 22220 E,Bearings,Spherical Roller Bearings,"Double row spherical roller bearing with cylindrical bore. Bore 100mm, OD 180mm, Width 46mm. Self-aligning capability for misalignment applications.",Spec details available on request.,Each,15,4,245.00,245.00,https://m.media-amazon.com/images/I/41Oe6Y+UN6L.jpg,Quote required,R1-02,FALSE,replit-import;replit-id-4;show-price-false;remote-image-source;bearings,OK
RPL-0005,NSK-NU210-EW,NSK,NSK-NU210-EW,NSK Cylindrical Roller Bearing NU210EW,Bearings,Cylindrical Roller Bearings,"Single row cylindrical roller bearing, removable inner ring. Bore 50mm, OD 90mm, Width 20mm. High radial load capacity for heavy industrial use.",Spec details available on request.,Each,56,14,67.25,67.25,https://m.media-amazon.com/images/I/51x-AMmCvhL.jpg,3-5 business days,R1-03,FALSE,replit-import;replit-id-5;show-price-true;remote-image-source;bearings,OK
RPL-0006,GATES-AX40,Gates,GATES-AX40,Gates AX40 Cogged V-Belt,Power Transmission,V-Belts,"Classical raw-edge cogged V-belt, AX40 (1/2"" x 42"" OC). Superior flexibility and heat resistance. For use with variable-speed drives and standard V-belt sheaves.",Spec details available on request.,Each,234,58,18.95,18.95,"https://images-eu.ssl-images-amazon.com/images/I/51ollQbZWmL._AC_UL300_SR300,200_.jpg",3-5 business days,R1-04,FALSE,replit-import;replit-id-6;show-price-true;remote-image-source;power-transmission,OK
RPL-0007,DODGE-SH-2-5/8,Dodge,DODGE-SH-2-5/8,Dodge Sure-H Sheave 2-Groove 5/8 Bore,Power Transmission,Belts,"2-groove sheave for B/C section belts. 5/8 bore, 6 pitch diameter. Cast iron construction for long service life.",Spec details available on request.,Each,42,10,54.00,54.00,https://m.media-amazon.com/images/I/71-Rd-kL1-L.jpg,3-5 business days,R1-05,FALSE,replit-import;replit-id-7;show-price-true;remote-image-source;power-transmission,OK
RPL-0008,GATES-8MGT-20S,Gates,GATES-8MGT-20S,Gates Poly Chain 8MGT-20S-21 Sprocket,Power Transmission,Belts,"Synchronous belt sprocket for 8MGT Poly Chain GT belts. 20 teeth, 1 bore, steel construction. For precision timing applications.",Spec details available on request.,Each,28,7,78.50,78.50,https://m.media-amazon.com/images/I/61lEjZ9cXnL.jpg,Quote required,R1-06,FALSE,replit-import;replit-id-8;show-price-false;remote-image-source;power-transmission,OK
RPL-0009,DODGE-FC-200,Dodge,DODGE-FC-200,Dodge FC-200 Flexible Coupling,Power Transmission,Couplings,"Jaw-type flexible coupling, 200 frame size. Accommodates up to 3 degrees angular misalignment. Suitable for pump and motor connections.",Spec details available on request.,Each,67,17,125.00,125.00,"https://images-eu.ssl-images-amazon.com/images/I/51ollQbZWmL._AC_UL300_SR300,200_.jpg",3-5 business days,R1-07,FALSE,replit-import;replit-id-9;show-price-true;remote-image-source;power-transmission,OK
RPL-0013,KMT-2522222,Kennametal,KMT-2522222,Kennametal 1/2in 4-Flute Carbide End Mill,Cutting Tools,End Mills,"Solid carbide square end mill, 1/2 diameter, 4-flute. AlTiN coating for hardened materials and stainless steel. 3in OAL.",Spec details available on request.,Each,64,16,42.00,42.00,https://m.media-amazon.com/images/I/61rqW9SLQTL.jpg,1-3 business days,R1-08,FALSE,replit-import;replit-id-13;show-price-true;remote-image-source;cutting-tools,OK
RPL-0014,MKT-D3348,Makita,MKT-D3348,Makita 3/8in x 12in SDS-Plus Drill Bit,Cutting Tools,Drill Bits,"SDS-Plus carbide-tipped rotary hammer drill bit. 3/8 diameter, 12 overall length. 4-cutter tip for fast drilling in concrete and masonry.",Spec details available on request.,Each,127,32,14.95,14.95,https://www.metcopacific.com/cdn/shop/products/product-image-1665482646_580x.jpg?v=1611215982,1-3 business days,R1-09,FALSE,replit-import;replit-id-14;show-price-true;remote-image-source;cutting-tools,OK
RPL-0015,KMT-1025321,Kennametal,KMT-1025321,Kennametal Carbide Insert CNMG 432,Cutting Tools,Carbide Inserts,"Turning insert CNMG 432, KCP25B grade. For general purpose turning of steel, stainless, and cast iron. Box of 10.",Spec details available on request.,Box/10,89,22,68.00,68.00,https://www.precisebits.com/images/stub-4ff_compsmal.jpg,Quote required,R1-10,FALSE,replit-import;replit-id-15;show-price-false;remote-image-source;cutting-tools,OK
RPL-0016,BSH-21005014,Bosch,BSH-21005014,Bosch 1/2in x 6in Straight Shank Drill Bit,Cutting Tools,Drill Bits,"High-speed steel straight shank twist drill bit. 1/2 diameter, 6 length. Suitable for drilling steel, aluminum, and plastics.",Spec details available on request.,Each,203,51,7.25,7.25,https://m.media-amazon.com/images/I/61rqW9SLQTL.jpg,1-3 business days,R2-01,FALSE,replit-import;replit-id-16;show-price-true;remote-image-source;cutting-tools,OK
RPL-0017,FAS-HHB-1/2-13x2,Fastenal,FAS-HHB-1/2-13x2,Grade 5 Hex Head Bolt 1/2-13 x 2in Box/100,Fasteners,Bolts,"Grade 5 hex head cap screw, 1/2-13 UNC x 2 length, zinc plated. Meets SAE J429 Grade 5 specification.",Spec details available on request.,Box/100,48,12,24.50,24.50,https://www.harfington.com/cdn/shop/files/ux_a25032500ux3856_ux_d02_400x.jpg?v=1778292209,1-3 business days,R2-02,FALSE,replit-import;replit-id-17;show-price-true;remote-image-source;fasteners,OK
RPL-0010,NOR-66253044,Norton Abrasives,NOR-66253044,Norton 4.5in Grinding Wheel Type 27 60 Grit,Abrasives,Grinding Wheels,"Depressed center grinding wheel, 4.5 x 1/4 x 7/8. 60 grit aluminum oxide for general purpose metal grinding. 13,300 RPM max.",Spec details available on request.,Each,312,78,4.25,4.25,https://m.media-amazon.com/images/I/81OU8GZlMSL.jpg,1-3 business days,R2-03,FALSE,replit-import;replit-id-10;show-price-true;remote-image-source;abrasives,OK
RPL-0011,3M-501C-80G,3M,3M-501C-80G,3M Cubitron II Flap Disc 967A 80+ Grit,Abrasives,Flap Discs,"4.5in T29 flap disc with precision-shaped grain. 80+ grit for faster cut rates on stainless and carbon steel. 12,200 RPM max.",Spec details available on request.,Each,188,47,8.50,8.50,https://images-na.ssl-images-amazon.com/images/I/41ptsaAGQEL.jpg,1-3 business days,R2-04,FALSE,replit-import;replit-id-11;show-price-true;remote-image-source;abrasives,OK
RPL-0012,NOR-66261131502,Norton Abrasives,NOR-66261131502,Norton Blaze RapidStrip Disc 4.5in,Abrasives,Abrasive Products,"Open weave surface conditioning disc for paint and coating removal. 4.5 diameter, non-loading construction. Works on contoured surfaces.",Spec details available on request.,Each,95,24,6.75,6.75,https://m.media-amazon.com/images/I/81OU8GZlMSL.jpg,1-3 business days,R2-05,FALSE,replit-import;replit-id-12;show-price-true;remote-image-source;abrasives,OK
RPL-0001,SKF-6205-2RS,SKF,SKF-6205-2RS,SKF Deep Groove Ball Bearing 6205-2RS,Bearings,Ball Bearings,"Single row deep groove ball bearing with rubber seals on both sides. Bore 25mm, OD 52mm, Width 15mm. Suitable for electric motors, pumps, and gearboxes.",Spec details available on request.,Each,145,36,12.50,12.50,https://m.media-amazon.com/images/I/41Oe6Y+UN6L.jpg,3-5 business days,R2-06,FALSE,replit-import;replit-id-1;show-price-true;remote-image-source;bearings,OK
RPL-0002,NSK-6308-ZZ,NSK,NSK-6308-ZZ,NSK Deep Groove Ball Bearing 6308-ZZ,Bearings,Ball Bearings,"Single row deep groove ball bearing with metal shields. Bore 40mm, OD 90mm, Width 23mm. Metal shields for light contamination protection.",Spec details available on request.,Each,78,20,28.75,28.75,https://m.media-amazon.com/images/I/51x-AMmCvhL.jpg,3-5 business days,R2-07,FALSE,replit-import;replit-id-2;show-price-true;remote-image-source;bearings,OK
RPL-0018,FAS-HHN-1/2-13,Fastenal,FAS-HHN-1/2-13,Grade 5 Hex Nut 1/2-13 UNC Box/100,Fasteners,Nuts,"Grade 5 finished hex nut, 1/2-13 UNC, zinc plated. Meets SAE J995 Grade 5 specification.",Spec details available on request.,Box/100,73,18,9.75,9.75,https://www.harfington.com/cdn/shop/files/ux_a25032500ux3856_ux_d03_400x.jpg?v=1778292211,1-3 business days,R2-08,FALSE,replit-import;replit-id-18;show-price-true;remote-image-source;fasteners,OK
RPL-0019,FAS-FW-1/2-HVY,Fastenal,FAS-FW-1/2-HVY,F436 Heavy Hex Flat Washer 1/2in Box/100,Fasteners,Bolts,"F436 heavy hex structural flat washer for 1/2 bolts. Hardened steel, zinc plated. For structural bolting applications.",Spec details available on request.,Box/100,156,39,11.25,11.25,https://m.media-amazon.com/images/I/71FrpmA21LL.jpg,1-3 business days,R2-09,FALSE,replit-import;replit-id-19;show-price-true;remote-image-source;fasteners,OK
RPL-0020,FAS-SHC-1/4-20x1,Fastenal,FAS-SHC-1/4-20x1,Socket Head Cap Screw 1/4-20 x 1in Box/100,Fasteners,Screws,"Alloy steel socket head cap screw, 1/4-20 UNC x 1 length, black oxide. ANSI B18.3 standard.",Spec details available on request.,Box/100,215,54,19.00,19.00,https://www.harfington.com/cdn/shop/files/ux_a25032500ux3856_ux_d02_400x.jpg?v=1778292209,1-3 business days,R2-10,FALSE,replit-import;replit-id-20;show-price-true;remote-image-source;fasteners,OK
RPL-0031,MRO-CLOTH-12,Pioneer Industrial,MRO-CLOTH-12,Industrial Shop Cloths 12x12 Box/200,MRO Supplies,MRO Supplies,"White cotton shop cloths for cleaning and wiping. 12 x 12, 200 count box. Lint-free, reusable, and machine washable.",Spec details available on request.,Box/200,67,17,28.00,28.00,https://m.media-amazon.com/images/I/61BaKOuSBiL.jpg,1-3 business days,R3-01,FALSE,replit-import;replit-id-31;show-price-true;remote-image-source;mro-supplies,OK
RPL-0032,MRO-TAPE-2X60,Pioneer Industrial,MRO-TAPE-2X60,Industrial Masking Tape 2in x 60yd,MRO Supplies,MRO Supplies,"General purpose masking tape, 2 x 60 yards. Medium adhesion, clean removal. For masking during painting, holding, and bundling.",Spec details available on request.,Roll,234,58,4.75,4.75,https://cdn11.bigcommerce.com/s-lzab3xj0a7/images/stencil/500x659/products/2158/13684/Garant-Tap-wrench-adjustable-strengthened_6954__12574.1771341822.jpg?c=1,1-3 business days,R3-02,FALSE,replit-import;replit-id-32;show-price-true;remote-image-source;mro-supplies,OK
RPL-0033,RDG-31610,Ridgid,RDG-31610,Ridgid 10in Heavy Duty Adjustable Wrench,MRO Supplies,MRO Supplies,"Heavy-duty adjustable wrench with I-beam handle. 10 length, 1-5/8 jaw capacity. Drop-forged steel for maximum strength.",Spec details available on request.,Each,5,1,42.00,42.00,https://images-na.ssl-images-amazon.com/images/I/81pJ6wJXHGL.jpg,1-3 business days,R3-03,FALSE,replit-import;replit-id-33;show-price-true;remote-image-source;mro-supplies,OK
RPL-0042,DODGE-SH-2-58,Dodge,DODGE-SH-2-58,Dodge Sure-H Sheave 2-Groove 5/8 Bore,Power Transmission,Belts,"2-groove sheave for B/C section belts. 5/8 bore, 6 pitch diameter. Cast iron construction.",Spec details available on request.,Each,42,10,54.00,54.00,https://m.media-amazon.com/images/I/71-Rd-kL1-L.jpg,3-5 business days,R3-04,FALSE,replit-import;replit-id-42;show-price-true;remote-image-source;power-transmission,OK
RPL-0052,FAS-HHB-12-13x2,Fastenal,FAS-HHB-12-13x2,Grade 5 Hex Head Bolt 1/2-13 x 2in Box/100,Fasteners,Bolts,"Grade 5 hex head cap screw, 1/2-13 UNC x 2 length, zinc plated. Meets SAE J429 Grade 5.",Spec details available on request.,Box/100,48,12,24.50,24.50,https://www.harfington.com/cdn/shop/files/ux_a25032500ux3856_ux_d03_400x.jpg?v=1778292211,1-3 business days,R3-05,FALSE,replit-import;replit-id-52;show-price-true;remote-image-source;fasteners,OK
RPL-0053,FAS-HHN-12-13,Fastenal,FAS-HHN-12-13,Grade 5 Hex Nut 1/2-13 UNC Box/100,Fasteners,Nuts,"Grade 5 finished hex nut, 1/2-13 UNC, zinc plated. Meets SAE J995 Grade 5 specification.",Spec details available on request.,Box/100,73,18,9.75,9.75,https://m.media-amazon.com/images/I/71FrpmA21LL.jpg,1-3 business days,R3-06,FALSE,replit-import;replit-id-53;show-price-true;remote-image-source;fasteners,OK
RPL-0054,FAS-FW-12-HVY,Fastenal,FAS-FW-12-HVY,F436 Heavy Hex Flat Washer 1/2in Box/100,Fasteners,Bolts,"F436 heavy hex structural flat washer for 1/2 bolts. Hardened steel, zinc plated.",Spec details available on request.,Box/100,156,39,11.25,11.25,https://www.harfington.com/cdn/shop/files/ux_a25032500ux3856_ux_d02_400x.jpg?v=1778292209,1-3 business days,R3-07,FALSE,replit-import;replit-id-54;show-price-true;remote-image-source;fasteners,OK
RPL-0055,FAS-SHC-14-20x1,Fastenal,FAS-SHC-14-20x1,Socket Head Cap Screw 1/4-20 x 1in Box/100,Fasteners,Screws,"Alloy steel socket head cap screw, 1/4-20 UNC x 1 length, black oxide. ANSI B18.3 standard.",Spec details available on request.,Box/100,215,54,19.00,19.00,https://www.harfington.com/cdn/shop/files/ux_a25032500ux3856_ux_d03_400x.jpg?v=1778292211,1-3 business days,R3-08,FALSE,replit-import;replit-id-55;show-price-true;remote-image-source;fasteners,OK
RPL-0021,EAT-E50SA1,Eaton,EAT-E50SA1,Eaton E50SA1 Limit Switch,Electrical,Electrical Components,"Standard enclosed limit switch, top push roller plunger actuator, SPDT contacts. NEMA 4, 4X, 12, 13 rated. 600V AC/250V DC.",Spec details available on request.,Each,34,8,89.50,89.50,https://m.media-amazon.com/images/I/411NdeyrU7L.jpg,1-3 business days,R3-09,FALSE,replit-import;replit-id-21;show-price-true;remote-image-source;electrical,OK
RPL-0022,EAT-XTCE032B10,Eaton,EAT-XTCE032B10,Eaton IEC Contactor 32A 3-Pole 24VAC,Electrical,Electrical Components,"IEC contactor, 32A, 3-pole, 24VAC coil, 1 N.O. auxiliary contact. For motor control and switching applications up to 15HP at 460V.",Spec details available on request.,Each,19,5,142.00,142.00,https://m.media-amazon.com/images/I/414+OudmdEL.jpg,Quote required,R3-10,FALSE,replit-import;replit-id-22;show-price-false;remote-image-source;electrical,OK
RPL-0023,BOSH-CableTie-100,Bosch,BOSH-CableTie-100,Bosch Cable Tie 12in 50lb Black 100-Pack,Electrical,Wire,"Nylon cable ties, 12 length, 50 lb tensile strength, UV-resistant black. Pack of 100. For wire management and bundling.",Spec details available on request.,Pack/100,342,86,6.95,6.95,https://m.media-amazon.com/images/I/411NdeyrU7L.jpg,1-3 business days,R4-01,FALSE,replit-import;replit-id-23;show-price-true;remote-image-source;electrical,OK
RPL-0024,HON-1010931,Honeywell,HON-1010931,Honeywell North 5500 Half Mask Respirator,Safety Supplies,Respiratory Protection,"Low-profile half-face respirator, medium size. Accepts North P100, organic vapor, and combination cartridges. NIOSH approved.",Spec details available on request.,Each,87,22,28.00,28.00,https://m.media-amazon.com/images/I/61-LABEk6gS.jpg,1-3 business days,R4-02,FALSE,replit-import;replit-id-24;show-price-true;remote-image-source;safety-supplies,OK
RPL-0025,3M-7502,3M,3M-7502,3M Half Facepiece Reusable Respirator 7502,Safety Supplies,Respiratory Protection,"Half facepiece respirator, medium size. Bayonet-style cartridge connection. Soft, silicone facepiece for extended wear comfort. NIOSH approved.",Spec details available on request.,Each,112,28,24.00,24.00,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/a2123363-982f-4c9a-b202-9dadef274e3a.__CR0,0,971,601_PT0_SX970_V1___.png",1-3 business days,R4-03,FALSE,replit-import;replit-id-25;show-price-true;remote-image-source;safety-supplies,OK
RPL-0026,HON-GH-15KO,Honeywell,HON-GH-15KO,Honeywell Uvex Anti-Fog Safety Glasses,Safety Supplies,Eye Protection,"Uvex S3200 Genesis XC safety glasses. Scratch and fog resistant, clear lens, black frame. ANSI Z87.1 rated.",Spec details available on request.,Each,265,66,7.50,7.50,https://m.media-amazon.com/images/I/61-LABEk6gS.jpg,1-3 business days,R4-04,FALSE,replit-import;replit-id-26;show-price-true;remote-image-source;safety-supplies,OK
RPL-0027,HON-SSB10G-L,Honeywell,HON-SSB10G-L,Honeywell North Chemical Resistant Gloves Large,Safety Supplies,Hand Protection,"Chemical resistant neoprene gloves, 14 length, Large size. Excellent resistance to oils, acids, and solvents. 30 mil thickness.",Spec details available on request.,Pair,178,44,12.50,12.50,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/a2123363-982f-4c9a-b202-9dadef274e3a.__CR0,0,971,601_PT0_SX970_V1___.png",1-3 business days,R4-05,FALSE,replit-import;replit-id-27;show-price-true;remote-image-source;safety-supplies,OK
RPL-0028,MOB-MBL-1,Mobil,MOB-MBL-1,Mobil 1 Synthetic Motor Oil 5W-30 1qt,Lubricants,Oil,Full synthetic motor oil for extended drain intervals. Exceptional protection at temperature extremes. Meets GM dexos1 Gen 2 and API SP specifications.,Spec details available on request.,Quart,423,106,8.95,8.95,https://m.media-amazon.com/images/I/71ZskdcQYvL.jpg,1-3 business days,R4-06,FALSE,replit-import;replit-id-28;show-price-true;remote-image-source;lubricants,OK
RPL-0029,MOB-MGS-HP-1,Mobil,MOB-MGS-HP-1,Mobilgrease HP Synthetic Grease 14oz,Lubricants,Grease,"Synthetic lithium complex grease, NLGI Grade 2. For high-speed, high-temperature bearing applications. -40F to 350F service range.",Spec details available on request.,Cartridge,156,39,14.25,14.25,https://m.media-amazon.com/images/I/51qqDQ3NMXL.jpg,1-3 business days,R4-07,FALSE,replit-import;replit-id-29;show-price-true;remote-image-source;lubricants,OK
RPL-0030,MOB-DTE-25,Mobil,MOB-DTE-25,Mobil DTE 25 Hydraulic Oil 1 Gallon ISO VG 46,Lubricants,Oil,Premium performance hydraulic oil ISO VG 46. Provides excellent wear protection and system cleanliness for hydraulic equipment.,Spec details available on request.,Gallon,89,22,22.50,22.50,https://m.media-amazon.com/images/I/71ZskdcQYvL.jpg,1-3 business days,R4-08,FALSE,replit-import;replit-id-30;show-price-true;remote-image-source;lubricants,OK
