priority,product_id,product_name,category,subcategory,image_ref,issue_type,recommended_action,source_url,source_page,license
P1,PROD-0014,Ceramic sanding belt 80 grit,Abrasives & Grinding,Sanding Belts,assets/product_images/real/prod-0014-curated-prod-0011-4-1-2-in-metal-cut-off-wheels.jpg,similar_photo_match,Replace with an exact or closer product-type photo before external demo.,https://api.openverse.org/v1/images/1210ac56-a3ca-47de-8929-c9bb9948c853/thumb/,https://www.flickr.com/photos/7941044@N06/3239638494,by
P1,PROD-0022,Nylon insert lock nut bin,Fasteners & Anchors,Nuts,assets/product_images/real/prod-0022-curated-prod-0023-hardened-flat-washer-assortment.jpg,similar_photo_match,Replace with an exact or closer product-type photo before external demo.,https://api.openverse.org/v1/images/c453b758-5a1b-41f0-932f-9396abccb4f0/thumb/,https://www.flickr.com/photos/37387065@N05/4206432903,by-sa
P1,PROD-0028,Aluminum blind rivet assortment,Fasteners & Anchors,Rivets,assets/product_images/real/prod-0028-curated-prod-0021-grade-8-hex-cap-screw-assortment.jpg,similar_photo_match,Replace with an exact or closer product-type photo before external demo.,https://api.openverse.org/v1/images/1d42805a-6254-4f89-bb86-98cca6694cc4/thumb/,https://www.flickr.com/photos/27633385@N00/3645906678,by
P1,PROD-0029,Stainless drop-in anchor,Fasteners & Anchors,Stud Anchors,assets/product_images/real/prod-0029-curated-prod-0022-curated-prod-0023-hardened-flat-washer-assortment.jpg,similar_photo_match,Replace with an exact or closer product-type photo before external demo.,https://api.openverse.org/v1/images/91faa948-3f74-4a7f-bf7b-fe7f8678ac01/thumb/,https://www.flickr.com/photos/39415781@N06/6047375244,by
P1,PROD-0037,NEMA 4X polycarbonate junction box,Electrical & Wire Management,Enclosures,assets/product_images/real/prod-0037-curated-prod-0034-curated-prod-0035-adhesive-heat-shrink-tubing-kit.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0038,30A non-fused safety disconnect,Electrical & Wire Management,Disconnects,assets/product_images/real/prod-0038-30a-non-fused-safety-disconnect.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0039,Copper grounding clamp,Electrical & Wire Management,Grounding,assets/product_images/real/prod-0039-copper-grounding-clamp.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0040,Slotted wiring duct gray,Electrical & Wire Management,Wire Duct,assets/product_images/real/prod-0040-slotted-wiring-duct-gray.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0041,ER70S-6 MIG welding wire,Welding & Gas Supplies,MIG Wire,assets/product_images/real/prod-0041-er70s-6-mig-welding-wire.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0042,E7018 low-hydrogen electrodes,Welding & Gas Supplies,Stick Electrodes,assets/product_images/real/prod-0042-e7018-low-hydrogen-electrodes.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0043,ER308L stainless TIG rod,Welding & Gas Supplies,TIG Rod,assets/product_images/real/prod-0043-curated-prod-0041-er70s-6-mig-welding-wire.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0044,MIG contact tips 0.035 in,Welding & Gas Supplies,Welding Tips,assets/product_images/real/prod-0044-curated-prod-0041-er70s-6-mig-welding-wire.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0045,MIG gas nozzle tapered,Welding & Gas Supplies,Nozzles,assets/product_images/real/prod-0045-mig-gas-nozzle-tapered.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0046,Water-based anti-spatter spray,Welding & Gas Supplies,Anti-Spatter,assets/product_images/real/prod-0046-curated-prod-0041-er70s-6-mig-welding-wire.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0047,Twin welding hose set,Welding & Gas Supplies,Gas Accessories,assets/product_images/real/prod-0047-twin-welding-hose-set.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0048,Fiberglass welding blanket,Welding & Gas Supplies,Welding Blankets,assets/product_images/real/prod-0048-curated-prod-0041-er70s-6-mig-welding-wire.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0049,Auto-darkening cover lens pack,Welding & Gas Supplies,Helmet Lenses,assets/product_images/real/prod-0049-auto-darkening-cover-lens-pack.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0050,Plasma cutter nozzle kit,Welding & Gas Supplies,Torch Consumables,assets/product_images/real/prod-0050-plasma-cutter-nozzle-kit.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0051,Multi-purpose lithium grease cartridge,MRO Chemicals & Lubricants,Lubricants,assets/product_images/real/prod-0051-curated-prod-0055-rtv-silicone-gasket-maker.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0052,Industrial penetrating oil,MRO Chemicals & Lubricants,Penetrants,assets/product_images/real/prod-0052-industrial-penetrating-oil.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0053,Electrical contact cleaner,MRO Chemicals & Lubricants,Cleaners,assets/product_images/real/prod-0053-electrical-contact-cleaner.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0054,Medium-strength threadlocker blue,MRO Chemicals & Lubricants,Threadlockers,assets/product_images/real/prod-0054-curated-prod-0051-curated-prod-0055-rtv-silicone-gasket-maker.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0055,RTV silicone gasket maker,MRO Chemicals & Lubricants,Sealants,assets/product_images/real/prod-0055-rtv-silicone-gasket-maker.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0056,Synthetic machining coolant concentrate,MRO Chemicals & Lubricants,Coolants,assets/product_images/real/prod-0056-synthetic-machining-coolant-concentrate.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0057,Citrus industrial degreaser,MRO Chemicals & Lubricants,Degreasers,assets/product_images/real/prod-0057-citrus-industrial-degreaser.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0058,Corrosion inhibitor spray,MRO Chemicals & Lubricants,Rust Prevention,assets/product_images/real/prod-0058-curated-prod-0051-curated-prod-0055-rtv-silicone-gasket-maker.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0059,Two-part epoxy repair putty,MRO Chemicals & Lubricants,Adhesives,assets/product_images/real/prod-0059-two-part-epoxy-repair-putty.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0060,Oil-only granular absorbent,MRO Chemicals & Lubricants,Absorbents,assets/product_images/real/prod-0060-curated-prod-0051-curated-prod-0055-rtv-silicone-gasket-maker.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0061,Cobalt drill bit index,Cutting Tools,Drill Bits,assets/product_images/real/prod-0061-cobalt-drill-bit-index.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0062,HSS annular cutter 7/8 in,Cutting Tools,Annular Cutters,assets/product_images/real/prod-0062-curated-prod-0063-spiral-point-tap-3-8-16.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0063,Spiral point tap 3/8-16,Cutting Tools,Taps,assets/product_images/real/prod-0063-spiral-point-tap-3-8-16.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0064,Hex rethreading die set,Cutting Tools,Dies,assets/product_images/real/prod-0064-curated-prod-0062-curated-prod-0063-spiral-point-tap-3-8-16.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0065,Bi-metal band saw blade,Cutting Tools,Saw Blades,assets/product_images/real/prod-0065-bi-metal-band-saw-blade.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0066,Carbide-tipped hole saw 2 in,Cutting Tools,Hole Saws,assets/product_images/real/prod-0066-carbide-tipped-hole-saw-2-in.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0067,Carbide end mill 1/2 in 4 flute,Cutting Tools,End Mills,assets/product_images/real/prod-0067-curated-prod-0062-curated-prod-0063-spiral-point-tap-3-8-16.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0068,82-degree countersink set,Cutting Tools,Countersinks,assets/product_images/real/prod-0068-82-degree-countersink-set.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0069,Chuck reamer 1/4 in,Cutting Tools,Reamers,assets/product_images/real/prod-0069-chuck-reamer-1-4-in.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0070,Heavy-duty utility blade dispenser,Cutting Tools,Utility Blades,assets/product_images/real/prod-0070-curated-prod-0062-curated-prod-0063-spiral-point-tap-3-8-16.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0071,Nylon web sling 2 in x 6 ft,Material Handling,Lifting Slings,assets/product_images/real/prod-0071-nylon-web-sling-2-in-x-6-ft.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0072,Grade 70 transport chain,Material Handling,Chain,assets/product_images/real/prod-0072-grade-70-transport-chain.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0073,Clevis grab hook 3/8 in,Material Handling,Hooks,assets/product_images/real/prod-0073-clevis-grab-hook-3-8-in.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0074,Swivel caster with brake,Material Handling,Casters,assets/product_images/real/prod-0074-swivel-caster-with-brake.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0075,Pallet jack replacement wheel kit,Material Handling,Pallet Equipment,assets/product_images/real/prod-0075-pallet-jack-replacement-wheel-kit.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0076,Steel service cart shelf liner,Material Handling,Carts,assets/product_images/real/prod-0076-steel-service-cart-shelf-liner.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0077,Lever hoist load chain bag,Material Handling,Hoist Accessories,assets/product_images/real/prod-0077-lever-hoist-load-chain-bag.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0078,Dock bumper laminated rubber,Material Handling,Dock Supplies,assets/product_images/real/prod-0078-curated-prod-0074-swivel-caster-with-brake.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0079,Ratchet strap 2 in x 27 ft,Material Handling,Straps,assets/product_images/real/prod-0079-curated-prod-0074-swivel-caster-with-brake.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0080,Stackable parts bin blue,Material Handling,Storage,assets/product_images/real/prod-0080-curated-prod-0074-swivel-caster-with-brake.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0081,Black malleable iron elbow 90 deg,"Pipe, Valves & Fittings",Pipe Fittings,assets/product_images/real/prod-0081-black-malleable-iron-elbow-90-deg.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0082,Brass full-port ball valve,"Pipe, Valves & Fittings",Ball Valves,assets/product_images/real/prod-0082-brass-full-port-ball-valve.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0083,Industrial quick coupler 1/4 in,"Pipe, Valves & Fittings",Hose Fittings,assets/product_images/real/prod-0083-industrial-quick-coupler-1-4-in.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0084,Schedule 40 pipe nipple,"Pipe, Valves & Fittings",Pipe Nipples,assets/product_images/real/prod-0084-schedule-40-pipe-nipple.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0085,Galvanized pipe union,"Pipe, Valves & Fittings",Unions,assets/product_images/real/prod-0085-curated-prod-0089-worm-gear-hose-clamp-assortment.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0086,Y-strainer stainless screen,"Pipe, Valves & Fittings",Strainers,assets/product_images/real/prod-0086-curated-prod-0085-curated-prod-0089-worm-gear-hose-clamp-assortment.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0087,Liquid-filled pressure gauge,"Pipe, Valves & Fittings",Pressure Gauges,assets/product_images/real/prod-0087-liquid-filled-pressure-gauge.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0088,EPDM flange gasket 2 in,"Pipe, Valves & Fittings",Gaskets,assets/product_images/real/prod-0088-curated-prod-0085-curated-prod-0089-worm-gear-hose-clamp-assortment.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0089,Worm gear hose clamp assortment,"Pipe, Valves & Fittings",Clamps,assets/product_images/real/prod-0089-worm-gear-hose-clamp-assortment.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0090,PTFE thread seal tape,"Pipe, Valves & Fittings",Thread Sealants,assets/product_images/real/prod-0090-ptfe-thread-seal-tape.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
